permission.all,All Permissions,All Permissions
permission.admin.all,All Admin,All Admin
permission.admin.user,Add/Edit User,Add/Edit User
permission.admin.group,Add/Edit Group,Add/Edit Group
permission.classification.all,All Classification,All Classification
permission.classification.new,Create Classification,Create Classification
permission.classification.edit,Edit Classification,Edit Classification
permission.classification.delete,Delete Classification,Delete Classification
permission.items.all,All Item,All Item
permission.items.view,View Item,View Item
permission.items.new,Create Item,Create Item
permission.items.edit,Edit Item,Edit Item
permission.items.delete,Delete Item,Delete Item
permission.vaults.all,All Vaults,All Vaults
permission.vaults.view,View Vaults,View Vaults
permission.vaults.edit,Edit Vaults,Edit Vaults
permission.vaults.new,Create Vaults,Create Vaults
permission.vaults.delete,Delete Vaults,Delete Vaults
