All Admin,All Admin,admin,,all,PLATFORM,,
To view the Admin,To view the Admin,admin,,view,PLATFORM,,
All Users,All Users,admin,user,all,PLATFORM,,
To view the User,To view the User,admin,user,view,PLATFORM,,
To create the User,To create the User,admin,user,create,PLATFORM,,
To edit the User,To edit the User,admin,user,edit,PLATFORM,,
To delete the User,To delete the User,admin,user,delete,PLATFORM,,
All Groups,All Groups,admin,group,all,PLATFORM,,
To view the Group,To view the Group,admin,group,view,PLATFORM,,
To create the Group,To create the Group,admin,group,create,PLATFORM,,
To edit the Group,To edit the Group,admin,group,edit,PLATFORM,,
To delete the Group,To delete the Group,admin,group,delete,PLATFORM,,
All Classifications,All Classifications,classification,,all,PLATFORM,,
To view the Classification objects,To view the Classification objects,classification,,view,PLATFORM,,
To create the Classification objects,To create the Classification objects,classification,,create,PLATFORM,,
To edit the Classification objects,To edit the Classification objects,classification,,edit,PLATFORM,,
To delete the Classification objects,To delete the Classification objects,classification,,delete,PLATFORM,,
All Items,All Items,item,,all,PE,,
To view the Item objects,To view the Item objects,item,,view,PE,,
To create the Item objects,To create the Item objects,item,,create,PE,,
To edit the Item objects,To edit the Item objects,item,,edit,PE,,
To delete the Item objects,To delete the Item objects,item,,delete,PE,,
To lock the Item objects,To lock the Item objects,item,,lock,PE,,
To copy the Item objects,To copy the Item objects,item,,copy,PE,,
To print the Item objects,To print the Item objects,item,,print,PE,,
All PLMNprs,All PLMNprs,plmnpr,,all,PE,,
To view the PLMNpr objects,To view the PLMNpr objects,plmnpr,,view,PE,,
To create the PLMNpr objects,To create the PLMNpr objects,plmnpr,,create,PE,,
To edit the PLMNpr objects,To edit the PLMNpr objects,plmnpr,,edit,PE,,
To delete the PLMNpr objects,To delete the PLMNpr objects,plmnpr,,delete,PE,,
All Changes,All Changes,change,,all,PE,,
To view the Changes objects,To view the Changes objects,change,,view,PE,,
To create the Changes objects,To create the Changes objects,change,,create,PE,,
To edit the Changes objects,To edit the Changes objects,change,,edit,PE,,
To delete the Changes objects,To delete the Changes objects,change,,delete,PE,,
All Manufacturers,All Manufacturers,manufacturer,,all,PM,,
To view the Manufacturers objects,To view the Manufacturers objects,manufacturer,,view,PM,,
To create the Manufacturers objects,To create the Manufacturers objects,manufacturer,,create,PM,,
To edit the Manufacturers objects,To edit the Manufacturers objects,manufacturer,,edit,PM,,
All Sharing,All Sharing,sharing,,all,PLATFORM,,
All Projects,All Projects,project,,all,PE,,
To view the Project objects,To view the Project objects,project,,view,PE,,
To create the Project objects,To create the Project objects,project,,create,PE,,
To edit the Project objects,To edit the Project objects,project,,edit,PE,,
To delete the Project objects,To delete the Project objects,project,,delete,PE,,
All Settings,All Settings,settings,,all,PLATFORM,,
To view the Settings objects,To view the Settings objects,settings,,view,PLATFORM,,
To create the Settings objects,To create the Settings objects,settings,,create,PLATFORM,,
To edit the Settings objects,To edit the Settings objects,settings,,edit,PLATFORM,,
To delete the Settings objects,To delete the Settings objects,settings,,delete,PLATFORM,,
All Requirements,All Requirement,requirement,,all,PE,,
To view the Requirement objects,To view the requirement objects,requirement,,view,PE,,
To create the Requirement objects,To create the requirement objects,requirement,,create,PE,,
To edit the Requirement objects,To edit the requirement objects,requirement,,edit,PE,,
To delete the Requirement objects,To delete the requirement objects,requirement,,delete,PE,,
All Requirement Documents,All Requirement Documents,requirementdocument,,all,PE,,
To view the Requirement Document objects,To view the Requirement Document objects,requirementdocument,,view,PE,,
To create the Requirement Document objects,To create the Requirement Document objects,requirementdocument,,create,PE,,
To edit the Requirement Document objects,To edit the Requirement Document objects,requirementdocument,,edit,PE,,
To delete the Requirement Document objects,To delete the Requirement Document objects,requirementdocument,,delete,PE,,
All Activities,All Activities,activity,,all,PLATFORM,,
To view the About objects,To view the About objects,about,,view,PLATFORM,,
To edit the About objects,To edit the About objects,about,,edit,PLATFORM,,
All Sessions,All Sessions,sessions,,all,PLATFORM,,
All Qualities,All Qualities,quality,,all,PQ,,
To view the Quality objects,To view the Quality objects,quality,,view,PQ,,
To create the Quality objects,To create the Quality objects,quality,,create,PQ,,
To edit the Quality objects,To edit the Quality objects,quality,,edit,PQ,,
To delete the Quality objects,To delete the Quality objects,quality,,delete,PQ,,
All Inspection Plans,All Inspection Plans,inspectionplan,,all,PQ,,
To view the Inspection Plans objects,To view the Inspection Plans objects,inspectionplan,,view,PQ,,
